accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.672;0.68857;"[0.71333333 0.68       0.68666667 0.64       0.66666667 0.66666667
 0.7        0.62       0.68       0.66666667]";"[0.67142857 0.7        0.67428571 0.67714286 0.68571429 0.70857143
 0.65428571 0.70571429 0.69428571 0.71428571]";[-1 -1  1 ...  1 -1 -1];"[[1. 0.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [1. 0.]
 [1. 0.]]";"[[1. 0.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [1. 0.]]"
0.67133;0.68886;"[0.71333333 0.68       0.68666667 0.64       0.66666667 0.66666667
 0.7        0.62       0.67333333 0.66666667]";"[0.67142857 0.7        0.67428571 0.67714286 0.68571429 0.71142857
 0.65428571 0.70571429 0.69428571 0.71428571]";[-1 -1  1 ...  1 -1 -1];"[[1. 0.]
 [1. 0.]
 [0. 1.]
 ...
 [0. 1.]
 [1. 0.]
 [1. 0.]]";"[[1. 0.]
 [0. 1.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [1. 0.]]"
0.68267;0.70086;"[0.68666667 0.67333333 0.67333333 0.68       0.68       0.68666667
 0.69333333 0.64       0.70666667 0.70666667]";"[0.68857143 0.69428571 0.7        0.68285714 0.70285714 0.71142857
 0.66       0.73714286 0.71142857 0.72      ]";[-1 -1  1 ... -1  1 -1];"[[1. 0.]
 [1. 0.]
 [0. 1.]
 ...
 [1. 0.]
 [0. 1.]
 [1. 0.]]";"[[1. 0.]
 [1. 0.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [1. 0.]]"
0.684;0.70114;"[0.68666667 0.68       0.67333333 0.68       0.68       0.69333333
 0.69333333 0.64       0.70666667 0.70666667]";"[0.69142857 0.69142857 0.70285714 0.68285714 0.70285714 0.71142857
 0.66       0.73714286 0.71142857 0.72      ]";[-1 -1  1 ... -1  1 -1];"[[1. 0.]
 [1. 0.]
 [0. 1.]
 ...
 [1. 0.]
 [0. 1.]
 [1. 0.]]";"[[1. 0.]
 [1. 0.]
 [1. 0.]
 ...
 [1. 0.]
 [0. 1.]
 [1. 0.]]"
0.70133;0.72657;"[0.67333333 0.69333333 0.74666667 0.68666667 0.7        0.68
 0.71333333 0.66666667 0.71333333 0.74      ]";"[0.70285714 0.72571429 0.71142857 0.72       0.73142857 0.71142857
 0.75714286 0.75714286 0.72571429 0.72285714]";[-1 -1  1 ... -1 -1 -1];"[[1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 4.44044793e-234]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000]]";"[[1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [5.59410447e-224 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]]"
0.702;0.72629;"[0.66666667 0.69333333 0.74666667 0.68666667 0.7        0.68
 0.71333333 0.66666667 0.72666667 0.74      ]";"[0.7        0.72571429 0.70857143 0.72       0.73142857 0.71142857
 0.75428571 0.75714286 0.72285714 0.73142857]";[-1 -1  1 ... -1 -1 -1];"[[1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 1.05402234e-235]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 0.00000000e+000]]";"[[1.0000000e+000 0.0000000e+000]
 [0.0000000e+000 1.0000000e+000]
 [1.0000000e+000 0.0000000e+000]
 ...
 [1.0000000e+000 0.0000000e+000]
 [9.0960204e-243 1.0000000e+000]
 [1.0000000e+000 0.0000000e+000]]"
0.71;0.71286;"[0.65333333 0.71333333 0.78666667 0.66       0.72666667 0.68666667
 0.74       0.66666667 0.73333333 0.73333333]";"[0.70857143 0.75428571 0.76571429 0.68857143 0.70285714 0.70285714
 0.68857143 0.75142857 0.68       0.68571429]";[-1 -1  1 ... -1 -1 -1];"[[1.00000000e+000 6.33886224e-321]
 [1.00000000e+000 2.40545502e-184]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 1.01932847e-197]
 [1.00000000e+000 2.00191025e-208]]";"[[1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [2.11840245e-203 1.00000000e+000]
 [7.04477704e-021 1.00000000e+000]]"
0.70867;0.71371;"[0.64       0.71333333 0.78       0.66       0.72666667 0.68666667
 0.75333333 0.67333333 0.72       0.73333333]";"[0.71142857 0.75428571 0.76857143 0.68285714 0.70857143 0.70857143
 0.69428571 0.75142857 0.68       0.67714286]";[-1 -1  1 ... -1 -1 -1];"[[1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 7.58748198e-184]
 [0.00000000e+000 1.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [1.00000000e+000 1.07653285e-216]
 [1.00000000e+000 9.52133015e-208]]";"[[1.00000000e+000 0.00000000e+000]
 [0.00000000e+000 1.00000000e+000]
 [1.00000000e+000 0.00000000e+000]
 ...
 [1.00000000e+000 0.00000000e+000]
 [6.01423915e-224 1.00000000e+000]
 [6.98104287e-028 1.00000000e+000]]"
0.64533;0.66914;"[0.63333333 0.62       0.66       0.64       0.72666667 0.61333333
 0.64666667 0.62666667 0.64       0.64666667]";"[0.65714286 0.69714286 0.65714286 0.65142857 0.70857143 0.66285714
 0.67142857 0.7        0.64571429 0.64      ]";[-1 -1  1 ... -1 -1 -1];"[[1.00000000e+00 1.55346278e-27]
 [1.00000000e+00 1.49511213e-36]
 [2.67671906e-09 9.99999997e-01]
 ...
 [1.00000000e+00 1.04808635e-25]
 [1.00000000e+00 6.57223688e-17]
 [1.00000000e+00 7.55948263e-41]]";"[[1.00000000e+00 4.98589343e-53]
 [1.00000000e+00 3.19785999e-32]
 [1.00000000e+00 3.02190855e-27]
 ...
 [1.00000000e+00 0.00000000e+00]
 [1.00000000e+00 9.37433731e-24]
 [1.00000000e+00 3.41974328e-38]]"
0.65067;0.67057;"[0.64666667 0.62666667 0.66666667 0.63333333 0.74       0.62
 0.64       0.63333333 0.64       0.66      ]";"[0.66857143 0.70857143 0.65714286 0.65142857 0.70857143 0.66
 0.66857143 0.68857143 0.64857143 0.64571429]";[-1 -1  1 ... -1 -1 -1];"[[1.00000000e+00 4.19392708e-26]
 [1.00000000e+00 3.97738282e-32]
 [4.99713599e-06 9.99995003e-01]
 ...
 [1.00000000e+00 8.56734969e-26]
 [1.00000000e+00 6.41926465e-16]
 [1.00000000e+00 8.87926766e-43]]";"[[1.00000000e+00 1.04797471e-54]
 [1.00000000e+00 9.54450403e-27]
 [1.00000000e+00 1.02139626e-27]
 ...
 [1.00000000e+00 0.00000000e+00]
 [1.00000000e+00 2.47802378e-24]
 [1.00000000e+00 4.99117294e-40]]"
