accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.74067;0.73;"[0.75333333 0.74       0.78       0.70666667 0.76666667 0.72
 0.78666667 0.72666667 0.66666667 0.76      ]";"[0.72857143 0.72857143 0.76571429 0.72571429 0.72571429 0.71714286
 0.74285714 0.73428571 0.72285714 0.70857143]";[-1 -1  1 ... -1  1 -1];"[[0.54529929 0.45470071]
 [0.51339681 0.48660319]
 [0.45150493 0.54849507]
 ...
 [0.50599668 0.49400332]
 [0.48719739 0.51280261]
 [0.55610727 0.44389273]]";"[[0.56690305 0.43309695]
 [0.52050725 0.47949275]
 [0.511011   0.488989  ]
 ...
 [0.53927416 0.46072584]
 [0.49737946 0.50262054]
 [0.55538498 0.44461502]]"
0.73933;0.73171;"[0.75333333 0.74       0.78       0.70666667 0.76666667 0.72
 0.78       0.72       0.66666667 0.76      ]";"[0.73142857 0.72571429 0.76857143 0.73142857 0.72       0.71714286
 0.74285714 0.73714286 0.72857143 0.71428571]";[-1 -1  1 ... -1  1 -1];"[[0.54780991 0.45219009]
 [0.51380561 0.48619439]
 [0.45090259 0.54909741]
 ...
 [0.50666558 0.49333442]
 [0.48766458 0.51233542]
 [0.55795556 0.44204444]]";"[[0.56875823 0.43124177]
 [0.52028339 0.47971661]
 [0.51095786 0.48904214]
 ...
 [0.54032743 0.45967257]
 [0.49678268 0.50321732]
 [0.55649324 0.44350676]]"
0.73533;0.76829;"[0.74       0.73333333 0.76666667 0.7        0.76       0.71333333
 0.78666667 0.72666667 0.66666667 0.76      ]";"[0.76857143 0.79142857 0.78571429 0.71714286 0.76571429 0.77714286
 0.76857143 0.77714286 0.75714286 0.77428571]";[-1 -1  1 ... -1  1 -1];"[[0.59006218 0.40993782]
 [0.52843079 0.47156921]
 [0.44915919 0.55084081]
 ...
 [0.51672358 0.48327642]
 [0.47991129 0.52008871]
 [0.59273413 0.40726587]]";"[[0.59171402 0.40828598]
 [0.52622562 0.47377438]
 [0.51162188 0.48837812]
 ...
 [0.54545636 0.45454364]
 [0.49698024 0.50301976]
 [0.578947   0.421053  ]]"
0.73733;0.76971;"[0.75333333 0.73333333 0.77333333 0.71333333 0.76       0.70666667
 0.78       0.71333333 0.67333333 0.76666667]";"[0.76857143 0.79142857 0.78571429 0.71714286 0.76857143 0.77714286
 0.77142857 0.78       0.76285714 0.77428571]";[-1 -1  1 ... -1  1 -1];"[[0.59457711 0.40542289]
 [0.5289691  0.4710309 ]
 [0.44816835 0.55183165]
 ...
 [0.51684468 0.48315532]
 [0.47893159 0.52106841]
 [0.5955074  0.4044926 ]]";"[[0.59469564 0.40530436]
 [0.52618293 0.47381707]
 [0.51147058 0.48852942]
 ...
 [0.54639868 0.45360132]
 [0.49582173 0.50417827]
 [0.58092436 0.41907564]]"
0.74867;0.78514;"[0.74       0.75333333 0.78666667 0.69333333 0.78666667 0.74
 0.78       0.71333333 0.72       0.77333333]";"[0.79142857 0.8        0.78       0.74       0.78       0.78571429
 0.80285714 0.80571429 0.78571429 0.78      ]";[-1 -1  1 ... -1  1 -1];"[[0.6099434  0.3900566 ]
 [0.53488368 0.46511632]
 [0.43262704 0.56737296]
 ...
 [0.539162   0.460838  ]
 [0.4923318  0.5076682 ]
 [0.62062712 0.37937288]]";"[[0.60111615 0.39888385]
 [0.52410612 0.47589388]
 [0.51172173 0.48827827]
 ...
 [0.55989111 0.44010889]
 [0.5066325  0.4933675 ]
 [0.59913344 0.40086656]]"
0.74867;0.78486;"[0.72666667 0.76       0.78666667 0.71333333 0.78666667 0.73333333
 0.78       0.71333333 0.71333333 0.77333333]";"[0.79428571 0.80285714 0.78       0.73714286 0.78       0.78857143
 0.80285714 0.80285714 0.78571429 0.77428571]";[-1 -1  1 ... -1  1 -1];"[[0.61522196 0.38477804]
 [0.53514981 0.46485019]
 [0.43073675 0.56926325]
 ...
 [0.54034801 0.45965199]
 [0.49062232 0.50937768]
 [0.62417349 0.37582651]]";"[[0.60444109 0.39555891]
 [0.52356646 0.47643354]
 [0.51163096 0.48836904]
 ...
 [0.5619265  0.4380735 ]
 [0.50536518 0.49463482]
 [0.60324432 0.39675568]]"
0.752;0.76914;"[0.72666667 0.76       0.79333333 0.72666667 0.78666667 0.74
 0.78666667 0.74       0.7        0.76      ]";"[0.76285714 0.78285714 0.79428571 0.71428571 0.76       0.77142857
 0.77714286 0.78       0.77714286 0.77142857]";[-1 -1  1 ... -1  1 -1];"[[0.61415795 0.38584205]
 [0.55710696 0.44289304]
 [0.39662973 0.60337027]
 ...
 [0.55066689 0.44933311]
 [0.49787489 0.50212511]
 [0.6353415  0.3646585 ]]";"[[0.60749497 0.39250503]
 [0.5218487  0.4781513 ]
 [0.51045027 0.48954973]
 ...
 [0.56831036 0.43168964]
 [0.50048821 0.49951179]
 [0.61982669 0.38017331]]"
0.74667;0.768;"[0.72       0.76       0.78666667 0.72666667 0.78666667 0.71333333
 0.78666667 0.74       0.69333333 0.75333333]";"[0.76571429 0.79142857 0.78571429 0.71142857 0.75714286 0.76857143
 0.78       0.77714286 0.78285714 0.76      ]";[-1 -1  1 ... -1  1 -1];"[[0.61979759 0.38020241]
 [0.55854447 0.44145553]
 [0.39221124 0.60778876]
 ...
 [0.5520544  0.4479456 ]
 [0.49585159 0.50414841]
 [0.63965036 0.36034964]]";"[[0.60873477 0.39126523]
 [0.52028823 0.47971177]
 [0.51036051 0.48963949]
 ...
 [0.57035441 0.42964559]
 [0.49721253 0.50278747]
 [0.62568403 0.37431597]]"
0.69733;0.712;"[0.67333333 0.72666667 0.71333333 0.67333333 0.72666667 0.6
 0.77333333 0.73333333 0.65333333 0.7       ]";"[0.69428571 0.74       0.71714286 0.67142857 0.71428571 0.69428571
 0.72571429 0.73142857 0.70857143 0.72285714]";[-1 -1  1 ... -1 -1 -1];"[[0.63154427 0.36845573]
 [0.62026535 0.37973465]
 [0.35857179 0.64142821]
 ...
 [0.57481277 0.42518723]
 [0.50376041 0.49623959]
 [0.68404554 0.31595446]]";"[[0.68890478 0.31109522]
 [0.54485854 0.45514146]
 [0.46656582 0.53343418]
 ...
 [0.6486082  0.3513918 ]
 [0.54122979 0.45877021]
 [0.67885061 0.32114939]]"
0.70133;0.70657;"[0.69333333 0.72       0.72       0.68       0.72666667 0.59333333
 0.77333333 0.74       0.65333333 0.71333333]";"[0.69142857 0.75142857 0.71142857 0.67714286 0.70571429 0.69714286
 0.70285714 0.72285714 0.7        0.70571429]";[-1 -1  1 ... -1  1 -1];"[[0.64655131 0.35344869]
 [0.62122825 0.37877175]
 [0.34845968 0.65154032]
 ...
 [0.58024687 0.41975313]
 [0.49369211 0.50630789]
 [0.69505252 0.30494748]]";"[[0.70495318 0.29504682]
 [0.53721856 0.46278144]
 [0.46346504 0.53653496]
 ...
 [0.66698628 0.33301372]
 [0.5380823  0.4619177 ]
 [0.69383013 0.30616987]]"
