date,user,text
23/10/2022 23:57,UmarArradeny,"Srimulyani sudah mengeluarkan pernyataan bahaya 2023,semoga kita tidak hidup dalam ilusi,kenapa demikian karena kita sudah di vaksin
"
23/10/2022 23:57,mbokewongndeso,"RT @elizabethlisa76: Poly ethilen Glycol yg digadang ada dilm obat batuk sirup anak. 
Hell...ooooo.. @KemenkesRI . Itu ada didlm bahan VAKSâ¦"
23/10/2022 23:57,Rizvan168,"RT @HeyFarahhh: Lanjut yak.

Jadi, oleh penelitian yg dilakukan drh. Indro, ada kecurigaan terbesar kalo kasus gagal ginjal pada anak2 iniâ¦"
23/10/2022 23:56,insanayu,Steril kucing dan vaksin rabies gratis Zoo
23/10/2022 23:56,adzit7,"kata mereka yg antivak sih, ortunya yg vaksin trus vaksinnya masuk ke anak lewat ASI.
ada juga yg menyalahkan imunisasi dasar pada bayi/balita, padahal imunisasi dasar lg turun, 'terganggu' krn pandemi covid, akhirnya sekarang malah bermunculan kasus campak lagi ??"
23/10/2022 23:56,sarkasimo,"Doktif dokter fiktif ..
Meyakini benar itulah prinsip...
Walaupun salah sekalipun karena yakin benar itu namanya pembenaran. 
Yakin dokter fiktif yang pernah memalsukan vaksin punya prinsip kebenaran bukan pembenaran?"
23/10/2022 23:53,ferdymad,"Vaksin COVID-19 ini didaftarkan oleh PT Etana Biotechnologies Indonesia dan dikembangkan melalui transfer teknologi serta penelitian bersama Abogen-Yuxi Walvax, China."
23/10/2022 23:53,tamaput12263406,"@jasajokivaksin
 
tersedia jasa tembak vaksin
tanpa suntik dan terdaftar di perduli lindungi 100% amanah dan aman
#tembakvaksin #calo
#5menitjadi"
23/10/2022 23:53,hendrigjovanka,@tquickla Pertahun kayanya bakalan vaksinð
23/10/2022 23:53,hellojoon__,"RT @Pak_Irv: Makanya sampe hari gini susah nih jelasin tentang prinsip vaksin, BPJS, toleransi, dan hal lain yg sebenernya pake logika anakâ¦"
23/10/2022 23:52,Hellopa123,Steril kucing dan vaksin rabies gratis ????
23/10/2022 23:52,Ndoro68295960,"Tuhkan..padahal gw bilang diatas..orang vaksin 3in1, 4in1, 5in1 itu udah lama dan gak kenapa2.. tapi kasus gagal ginjal krn etilen glikol dari obat sirup dulu udah pernah ada..makanya agli mulainya dari sono...??
Itu gunanya ahli, bukan tukang cocoklogi kayak lu.."
23/10/2022 23:51,Joue1403,"RT @LtdAkbar: Katanya vaksin itu tdk bs membuat orang terinfeksi. 
Katanya berterimakasihlah kpd yg sdh divaksin krn membentengi yg blm divâ¦"
23/10/2022 23:51,jaeeyongiesoft,guys kalo mau vaksin booster hrs bner bner ga lg sakit apapun ya?? even batuk dikitt gapapa gaak??
23/10/2022 23:51,shidqiniam,"RT @lantip: 134 korban jiwa, sampai hari ini baru 6 tersangka kroco semua dlm hierarki pertanggungjawaban.

lalu banjir, lalu ratusan bayiâ¦"
23/10/2022 23:50,Phudin1,"RT @DrTaufan1: PARACETAMOL SYRUP dgn komposisi sama, puluhan tahun tak masalah mengapa tiba2 buat gagal ginjal akut ?

Gila !
Coba selidikiâ¦"
23/10/2022 23:49,cahyoharjuna,"Obat gagal ginjal akut - didatangkan dari asing
Vaksin - didatangkan dari asing
Buruh kasar - diisi Tenaga Kerja Asing

Ini nanti pejabat pemerintahan juga bakal diisi asing nggak?
Misal untuk mengisi jabatan kepala dinas pendidikan didatangkan orang Tiongkok gitu. ??"
23/10/2022 23:48,otsuzo,Ayo vaksin! ????????????????????????????????????????
23/10/2022 23:47,chrnnisah,RT @collegemenfess: [cm] kalian suka penasaran ga sih sm gmn jalan pikirannya orang yg anti-vaksin? Mksdnya ya tetep ngeyel2 gt lah pendapaâ¦
23/10/2022 23:46,sekencens,"Ngtwt ttg vaksin, lgsg di dm gini??"
23/10/2022 23:46,otsuzo,"RT @faizalassegaf: Yg terlanjur vaksin &amp; cemas, konsumsi aja madu Arab dari Yaman utk netralisir. Itu sunnah Baginda Rasul yg sdh terbuktiâ¦"
23/10/2022 23:46,PestMobil,"Bang, jangan politikkan kes kematian Covid.
36k kematian sebab PH buat bodoh. 
Negeri² PH ada duit dan resources utk buat ivermectin clinical trial. Kenapa tak buat? 

Nak politikkan juga org mati, tu yg mati sudden death lepas vaksin."
23/10/2022 23:46,kerjacerdas,"RT @SumandoGaek: Vaksin berulang kali adalah kebohongan â£ï¸â ï¸ dan PCR/Antigen test kit mengandung racun yg berbahaya.
Jadi selama 3 tahun inâ¦"
23/10/2022 23:44,supiaman_asep,"RT @DokterTifa: Poly etylene glycol (PEG) ada di vaksin C0V1D, bukan mrpk kontaminan, ttp mmg bahan eksisting yg ada di vaksin tsb, utama dâ¦"
23/10/2022 23:44,sriryzky,"RT @YanniAffan: Dr. Indro bikin syokkk inið
Harusnya Biar Fair pemeriksaan bukan hanya dilakukan pada obatÂ²an yg beredar tapi akan lebih baâ¦"
23/10/2022 23:44,Lusi_tor,@convomfs vaksin 4 meluncur
23/10/2022 23:42,PatihGaj_Ahmada,Bukan idiot tapi di sekolah tak tungkat kesadaran rendah dan tak diajarin ilmu dasar dasar kesehatan alami praktis yg berguna utk kelak kmdn hari. Yg ada sekarang dunia pendidikan disusupi agenda para pengusaha melalu dinas terkait. Yg disurih vaksin yg disuruh minum pil dll.
23/10/2022 23:41,nabilazwink,"KA antar kota wajib booster nder, di tiket km otomatis nanti muncul keterangannya km udh vaksin brp. Tp kalo KA lokal kayanya minimal vaksin 1. Kalo bis sama sekali ga pake."
23/10/2022 23:41,DavidHe49955130,"RT @papa_loren: Luhut: Perusahaan RI dan Cina Bangun Pabrik Vaksin, Mulai Produksi April 2022.

Meaning:
1. Long term PPKM
2. Booster jilidâ¦"
23/10/2022 23:40,rbibl,@depopulasi @edemasentral @chydrrn @Askrlfess Coba deh baca lagi fungsi vaksin itu apa
23/10/2022 23:38,otsuzo,"RT @LtdAkbar: Mau nanya. Polyethylene Glicol itu ada dalam vaksin mRNA gak ya?
Ada yang tau?
Kenapa covaxin tdk boleh dibarengin dg paracetâ¦"
23/10/2022 23:37,butahukum,"Kenapa baru hari ini kita dengar kasus ginjal akut pada anak?. Bukankah obat2 sirup itu sdh lama dikonsumsi dan diresepkan dokter, sdh lolos uji 
@BPOM_RI
 pula?. Apakah ini bukan akibat vaksin??. Kalau bukan, knp BPOM meloloskannya beredar??. Makin gk jelas aja nih."
23/10/2022 23:37,taruxtaria,"wkwkwk anjir, tp gw hobby vaksin keknya ð­ tiap vaksin baru keluar gercep suntik https://t.co/fj9pWma2pK"
23/10/2022 23:37,Dadu24439009,"Bgmn dgn kemungkinan badai sitokin dr infeksi alamiah prof ? Sy (tdk vaksin, pemakai thibbun nabawi bkn obat medis)  kena dr anak. Ya, saat sulit2nya berkemih alami inflamasi pulpal gigi (pulpitis) hingga tanggal."
23/10/2022 23:35,PemujaKadrun,@Lisaamartatara4 Loe Kadrun betina yg palsuin vaksin kan ??
23/10/2022 23:33,yangryuu,"[cm] kalian suka penasaran ga sih sm gmn jalan pikirannya orang yg anti-vaksin? Mksdnya ya tetep ngeyel2 gt lah pendapat mereka, serius sender sbg anak kesehatan kadang yg speechless gt kalau ada yg ngeyel soal kesehatan pdhl udah dipaparin bukti atau dijelasin ahli:((("
23/10/2022 23:31,lecantiona,gw mimpi habis vaksin lg terus bangun bangun tangannya pegel nangis
23/10/2022 23:30,Saytheneo1,"@LtdAkbar ""kan anaknya ga vaksin kopit"" 
Lah emak bapaknya kan ada riwayat vaksin, nurunlah ke anaknyaa. Ada penelitian nya"
23/10/2022 23:30,MonCha65938734,RT @renysantika1: @susipudjiastuti Nanti covid bangkit lagi buat jualan vaksin ð¤£
23/10/2022 23:29,MonCha65938734,RT @apo_subhan: @susipudjiastuti Pabrik vaksin ini nyata nyata ntuk mmbunuh bangsa bangsa dan negara Indonesia
23/10/2022 23:29,pritiueq,"@anakpungutHades @collegemenfess Sama bngt, awal vaksin aku diluan jd kelinci percobaan dirumahð­"
23/10/2022 23:29,MonCha65938734,RT @Madza57472638: @susipudjiastuti Pertanda PPKM berjilid2 dan bisnis vaksin semakin menggiurkan
23/10/2022 23:26,A_kadall,"@convomfs Jangan bilang harus ada vaksin ke 4, 5, 6 dan seterusnya ya bgst"
23/10/2022 23:25,sibakteribaik,"Heran juga padahal cuma vaksin doang ribetnya kek disuruh bayar utang, padahal vaksin juga gratis gak suruh bayar tapi susahnya minta ampun"
23/10/2022 23:25,samarchitect86,Wkwkwk.. Loe gak pernah vaksinasi anak loe ya... Tau apa itu vaksin DPT..??  Itu artiinya sudah 3 vaksin sekaligus... Atau loe gak tau juga MMR..??   Gua ngakak dululah...
23/10/2022 23:25,AntiBeloKiri,"Ini dikabakar karena berdirinya kerjasama BUMN china dengan RI tentang industri vaksin yg mulai produksi bulan depan.rekruitment tenaga pun sudah komplit.semua sdh tertata
"
23/10/2022 23:25,AloelAsheen,"RT @kembang_asem: Mereka menyalahkan sirup atas kejadian gagal ginjal pada anak-anak, padahal itu akibat vaksin..!

What is polyethylene glâ¦"
23/10/2022 23:24,Nadya_Azahra99,"RT @Vermilo1: Orang yang menolak fakta pahit vaksin selalu beralasan tidak ada bukti ilmiah, bukti ilmiah yang seperti apa? Kalo ribuan vidâ¦"
23/10/2022 23:23,lovedbymitsuji,"@munfess ga keras bgt. cm nyeri di lengan ky vaksin pertama. besok aja, km kurang tidur pas screening test trs ga lolos rugi di km"
23/10/2022 23:23,82tyless,AAAAAAAAAAARRR NYARI VAKSIN BOOSTER KENAPA SUSAHHHHHHð­ð­ð­ð­
23/10/2022 23:21,tahugmmtv_,"@convomfs Kalau ada vaksin bisa ga si vaksin di minum ga usah di suntik lagi, lama2 tangan gua bolong di suntik melulu"
23/10/2022 23:19,unic_orn2,"Kating gue ada yg anti vaksin bahkan dari dulu sampe sekarang ga percaya covid anjir. Udah bodoamat gua mah dia koar koar bikin story apa ge kayanya udah ga ada yg peduli
"
23/10/2022 23:19,ukhtielya,@t3luuur Tp kebanyakan anak2 yg meninggal dgn kasus gagal ginjal akut blm d vaksin covid loh karna blm usia sekolah.??
23/10/2022 23:19,Mr_cosanostra,"RT @jannotama: @Mr_cosanostra Saya lagi kepikiran, apa mungkin vaksin ini menjadi triger tertentu untuk jenis obat/vitamin yg dikonsumsi anâ¦"
23/10/2022 23:19,batulangit5,"China sekarang sdang brusaha penuh menguasai kawasan, shingga ( kmungkinan) perang PD3 tidak mnjalar di sini krn di asia "" sudah bersih ""

Rezim akn brtahan,sampai benar benar 62 di pastikan berjalan di kiri..

Kiamat kecil dengan vaksin ato sejenisnya.."
23/10/2022 23:18,AloelAsheen,"22 efek vaksin C 19 menurut FDA.
"
23/10/2022 23:18,WakandaNgutang,"Silahkan tenggak itu vaksin goblok!
Lu kena prank produsen vaksin dan rela dijadikan Tikus Lab...otak emang beda??
"
23/10/2022 23:17,alpancasani,"RT @Mr_cosanostra: Kalo anda tidak di Vaksin.... Anda anti sosialâ¦!!ð

Ternyata hari iniâ¦ semua itu tidak masuk akalâ¦
sekarang hal ini ternâ¦"
23/10/2022 23:15,afafia_,@tanyakanrl tergantung orangnya. aku vaksin 1 sama 2 demam tapi pas booster malah sehat ð
23/10/2022 23:15,barnadi,"Mungkin gak sih si etylen glycol ini bukan penyebab utama GGA makanya belum ditarik2in? Kan ada rumor juga gara2 vaksin anak2 atau apa gt.
"
23/10/2022 23:15,DindaAzizahqu,"RT @OposisiCerdas: Marak Kasus Balita Gagal Ginjal, Babeh Aldo Singgung Vaksin: Gue Udah Ingetin, ASI Berpengaruh
https://t.co/dcTxiz3EKT"
23/10/2022 23:15,morodjoyo,"Banyak Orang2 Guoblog Bilang.. 
Yg..Nggak Pro Vaksin
Anti Vaksin. 

Bukan..Begitu Persoalan & Permasalahan..Bong. 

Melainkan MANDATORY nya..Vaksin.. 
Itulah..Persoalan nya.!! 

... Kan.. Imunitas Alamiah... Setiap Individu Berbeda2. 
Lalu ada UU KESEHATAN. 
Bener Nggak Bong?!!"
23/10/2022 23:15,Yourslyyyy,@BogorDinkes hallo ada info vaksin booster ga
23/10/2022 23:14,pixaxr,"@tanyakanrl besok aja, sblm vaksin mending makan dan banyak minum dulu biar ga sakit after nya"
23/10/2022 23:13,syifarmaci,"@collegemenfess vaksin*. terus juga dia provokasi ke orang2 lain buat ga vaksin ga jaga jarak dll. aneh, totally freak."
23/10/2022 23:13,Mama_y0r,"Sambil kamu cari2 dibakat kamu, ambil mini course buat digital marketing aja nder. Sekalian cari-cari info vaksin. 

Kalo gada tuntutan ortu biasanya santai. Aku juga dulu gitu. Tapi ngeliat temen-temen udah ini itu, aku pengen juga :(

Tapi gapapa, ada waktunya sendiri kooo
"
23/10/2022 23:13,jelin_marcelyn,"@Rena__Anggraeni Beliau ini kurang kerjaan
Habis vaksin bkn nya istirahat, malah olahraga ð¿"
23/10/2022 23:13,KediriFess,Cah nk arep numpak kereta/bus kui butuh surat vaksin ra?
23/10/2022 23:12,hellloooo97,"Gue kenal ibu2 yg anti-vac kan.. Gue tnya knapa gamau vaksin. Eh dia bilang ""katanya kandungan vaksin tuh ga halal loh""

Hadeeuh, eyke paling males kalo berdasarkan ""katanya"" ???? Mana dia no masker pula ckckck
"
23/10/2022 23:10,opposite6892,Sudah tau vaksin mengandung babi di paksakan ke manusia untuk di suntikan
23/10/2022 23:10,o_ll22l,Klo naik kereta/bus butuh surat vaksin gk sih?
23/10/2022 23:09,Kiki_Sultan_AR,"Info vaksin boster dong buat besok, wilayah Jabodetabek!"
23/10/2022 23:07,khanza_Ria,"RT @HeyFarahhh: Ini dulu aku taruh disini. Penjelasan mengenai kenapa bisa anak2 yg belum di vaksin malah yg kena, aku jelasin nanti aku geâ¦"
23/10/2022 23:06,fotnce,"@munfess Syarat vaksin itu badan fit, kalau udah tau begadang gausah maksa vaksin."
22/10/2022 23:59,patardaniel,"Yg ngotot semua krn sirup siapa? Dablek, dmn gw ngomong gitu? Gw bilang ini hasil temuan awal dari RSCM berdasarkan sample obat yg dikumpulkan dan diteliti. Tp omongan lu yg mengaitkan ini dgn vaksin kan jelas tolol dan tdk berdasar.
"
22/10/2022 23:58,Alis_tora,RT @hsnsaputro: Masih kekeuh percaya klo korban KIPI vaksin covid d indo 0% ? Mata &amp; telinganya dipakai dong utk lihat langsung kondisi d mâ¦
22/10/2022 23:58,ynjaya,Maksud dari ujian sebenarnya itu apa ? Terus program vaksin sampai 3 dosis gunanya apa ? https://t.co/gvy4SpMtk5
22/10/2022 23:58,ftrrii1,"Klo dimasukin datanya, ya mana laku vaksin nya kan? Makanya pemerintah ga masukin data biar dikata rakyatnya bnyk yg meninggal setelah vaksin. Kibuli aja mereka sama bansos. Selesai
"
22/10/2022 23:57,Alis_tora,"RT @_Banyoe: Menempatkan bingkai ""Saya sudah di Vaksin COVID"" di profil medsos anda, tidak akan melindungi anda, tidak akan menyelamatkan kâ¦"
22/10/2022 23:57,JenJezen292,"Parasetamol cuma jadi kambing hitam atas keganasan vaksin dan shedding effect nya
"
22/10/2022 23:57,IkaJatnika,"RT @etibers: @bd_baskoro Side efect adalah cuan berikutnya yg terlibat dlm bisnis ini segeralah bertobat, dari semua anak yg gagal ginjal aâ¦"
22/10/2022 23:57,mutajir_mohamat,"Apakah anak-anak itu sudah di vaksin campak, rubela dst..?
"
22/10/2022 23:56,patardaniel,"Lah itu kan samplenya orang dewasa, termasuk usia 42-77 tahun. Kasus yg terjadi ini kan pada anak2 yg umumnya tdk menerima vaksin. Tp Anda ngotot ini dari Asi ibunya. Dmn di artikel itu dibilang dari Asi ibu? Jaka sembung
"
22/10/2022 23:56,basukane,"Bisnis datang dg plandemi..benar kata IBU SITI FADILAH SUPARI , Hati2 permainan industrialis vaksin yg akan merancang pandemi2 berikutnya.
"
22/10/2022 23:56,ftrrii1,"Jd org jgn saklek. Hubungan semua benang merahnya. Org saklek itu brarti ga ada empati. Tmsk lo yg ngotot semua krn sirup pdhl ada korban ga ngobat tp dia vaksin
"
