date;user;text;cleantext;tokens
2022-10-23 23:57:00;UmarArradeny;"Srimulyani sudah mengeluarkan pernyataan bahaya 2023,semoga kita tidak hidup dalam ilusi,kenapa demikian karena kita sudah di vaksin
";srimulyani pernyatan bahaya moga hidup ilusi vaksin;['srimulyani', 'pernyatan', 'bahaya', 'moga', 'hidup', 'ilusi', 'vaksin']
2022-10-23 23:57:00;mbokewongndeso;"RT @elizabethlisa76: Poly ethilen Glycol yg digadang ada dilm obat batuk sirup anak. 
Hell...ooooo.. @KemenkesRI . Itu ada didlm bahan VAKSâ¦";poly ethilen glycol gadang dilm obat batuk sirup anak hell ooooo didlm bahan vaks;['poly', 'ethilen', 'glycol', 'gadang', 'dilm', 'obat', 'batuk', 'sirup', 'anak', 'hell', 'ooooo', 'didlm', 'bahan', 'vaks']
2022-10-23 23:57:00;Rizvan168;"RT @HeyFarahhh: Lanjut yak.

Jadi, oleh penelitian yg dilakukan drh. Indro, ada kecurigaan terbesar kalo kasus gagal ginjal pada anak2 iniâ¦";teliti laku drh indro kecurigan kalo gagal ginjal anak;['teliti', 'laku', 'drh', 'indro', 'kecurigan', 'kalo', 'gagal', 'ginjal', 'anak']
2022-10-23 23:56:00;adzit7;"kata mereka yg antivak sih, ortunya yg vaksin trus vaksinnya masuk ke anak lewat ASI.
ada juga yg menyalahkan imunisasi dasar pada bayi/balita, padahal imunisasi dasar lg turun, 'terganggu' krn pandemi covid, akhirnya sekarang malah bermunculan kasus campak lagi ??";antivak sih orang tua vaksin vaksin masuk anak asi salah imunisasi dasar bayi balita imunisasi dasar turun ganggu pandemi covid muncul campak;['antivak', 'sih', 'orang', 'tua', 'vaksin', 'vaksin', 'masuk', 'anak', 'asi', 'salah', 'imunisasi', 'dasar', 'bayi', 'balita', 'imunisasi', 'dasar', 'turun', 'ganggu', 'pandemi', 'covid', 'muncul', 'campak']
2022-10-23 23:56:00;sarkasimo;"Doktif dokter fiktif ..
Meyakini benar itulah prinsip...
Walaupun salah sekalipun karena yakin benar itu namanya pembenaran. 
Yakin dokter fiktif yang pernah memalsukan vaksin punya prinsip kebenaran bukan pembenaran?";doktif dokter fiktif prinsip salah nama dokter fiktif palsu vaksin prinsip;['doktif', 'dokter', 'fiktif', 'prinsip', 'salah', 'nama', 'dokter', 'fiktif', 'palsu', 'vaksin', 'prinsip']
2022-10-23 23:53:00;ferdymad;Vaksin COVID-19 ini didaftarkan oleh PT Etana Biotechnologies Indonesia dan dikembangkan melalui transfer teknologi serta penelitian bersama Abogen-Yuxi Walvax, China.;vaksin covid daftar etana biotechnologies indonesia kembang transfer teknologi teliti abogen yuxi walvax china;['vaksin', 'covid', 'daftar', 'etana', 'biotechnologies', 'indonesia', 'kembang', 'transfer', 'teknologi', 'teliti', 'abogen', 'yuxi', 'walvax', 'china']
2022-10-23 23:53:00;tamaput12263406;"@jasajokivaksin
 
tersedia jasa tembak vaksin
tanpa suntik dan terdaftar di perduli lindungi 100% amanah dan aman
#tembakvaksin #calo
#5menitjadi";sedia jasa tembak vaksin suntik daftar duli lindung amanah aman;['sedia', 'jasa', 'tembak', 'vaksin', 'suntik', 'daftar', 'duli', 'lindung', 'amanah', 'aman']
2022-10-23 23:53:00;hendrigjovanka;@tquickla Pertahun kayanya bakalan vaksinð;kaya vaksin;['kaya', 'vaksin']
2022-10-23 23:53:00;hellojoon__;RT @Pak_Irv: Makanya sampe hari gini susah nih jelasin tentang prinsip vaksin, BPJS, toleransi, dan hal lain yg sebenernya pake logika anakâ¦;susah nih jelasin prinsip vaksin bpjs toleransi pakai logika anak;['susah', 'nih', 'jelasin', 'prinsip', 'vaksin', 'bpjs', 'toleransi', 'pakai', 'logika', 'anak']
2022-10-23 23:52:00;Ndoro68295960;"Tuhkan..padahal gw bilang diatas..orang vaksin 3in1, 4in1, 5in1 itu udah lama dan gak kenapa2.. tapi kasus gagal ginjal krn etilen glikol dari obat sirup dulu udah pernah ada..makanya agli mulainya dari sono...??
Itu gunanya ahli, bukan tukang cocoklogi kayak lu..";tuhkan bilang orang vaksin gagal ginjal etilen glikol obat sirup agli sono ahli tukang cocoklogi kayak;['tuhkan', 'bilang', 'orang', 'vaksin', 'gagal', 'ginjal', 'etilen', 'glikol', 'obat', 'sirup', 'agli', 'sono', 'ahli', 'tukang', 'cocoklogi', 'kayak']
